Elfyn Llwyd, Plaid Cymru
Andrew Miller, Labour
Jonathan Evans, Conservative
Benjamin Bradshaw, Labour
Austin Mitchell, Labour
Wyvill Raynsford, Labour
Margaret Hillier, Labour
John Twigg, Labour
Andrew Slaughter, Labour
Glenda Jackson, Labour
Thomas Brake, Liberal Democrat
Michael Gapes, Labour
Andrew Burnham, Labour
James Dowd, Labour
Joan Ruddock, Labour
David Havard, Labour
Andrew McDonald, Labour
Daniel Poulter, Conservative
Edward Balls, Labour
Peter Hain, Labour
Chinyelu Onwurah, Labour
Christopher Farrelly, Labour
Daniel Rogerson, Liberal Democrat
Simon Wright, Liberal Democrat
Christopher Leslie, Labour
Gregory Hands, Conservative
Ifor Irranca-Davies, Labour
James Fitzpatrick, Labour
Christopher Bryant, Labour
Nick Dakin, Labour
George Smith, Conservative
Philip Wilson, Labour
Margaret Munn, Labour
Lorely Burt, Liberal Democrat
David Heath, Liberal Democrat
John Denham, Labour
Shaun Woodward, Labour
Joan Walley, Labour
Anthony Baldry, Conservative
Stephen Mosley, Conservative
Paul Murphy, Labour
Christopher Ruane, Labour
Thomas Watson, Labour
Patrick McFadden, Labour
Hugh Bayley, Labour
Frank Doran, Labour
Margaret Begg, Labour
Alan Reid, Liberal Democrat
Sandra Osborne, Labour
Michael Moore, Liberal Democrat
Brian Donohoe, Labour
Gregg McClymont, Labour
Sheila Gilmore, Labour
Alistair Darling, Labour
Mike Crockart, Liberal Democrat
Lindsay Roy, Labour
Anthony Timpson, Conservative
Iain McKenzie, Labour
Daniel Alexander, Liberal Democrat
Cathy Jamieson, Labour
James Hood, Labour
Frank Roy, Labour
Walter Campbell, Liberal Democrat
Charles Kennedy, Liberal Democrat
Robert Smith, Liberal Democrat
James Howarth, Conservative
David Heyes, Labour
Michael Wood, Labour
Richard Ottaway, Conservative
Naomi Long, Alliance
Paul Maskey, Sinn Féin
Simon Hughes, Liberal Democrat
Alan Beith, Liberal Democrat
John Hemming, Liberal Democrat
Ronald Campbell, Labour
David Ward, Liberal Democrat
George Galloway, Respect
Roger Williams, Liberal Democrat
Sarah Teather, Liberal Democrat
